path,category,extension,lines,bytes,read_status,purpose,primary_symbols,notes
.env.example,CONFIG,.example,73,1767,READ,,,
.github/dependabot.yml,INFRA,.yml,29,585,READ,,,
.github/ISSUE_TEMPLATE/bug_report.md,INFRA,.md,36,585,READ,,,
.github/ISSUE_TEMPLATE/config.yml,INFRA,.yml,8,342,READ,,,
.github/ISSUE_TEMPLATE/feature_request.md,INFRA,.md,23,438,READ,,,
.github/PULL_REQUEST_TEMPLATE.md,INFRA,.md,32,1061,READ,,,
.github/workflows/ci.yml,INFRA,.yml,81,2218,READ,,,
.github/workflows/codeql.yml,INFRA,.yml,30,616,READ,,,
.gitignore,CONFIG,,83,1021,READ,,,
AGENTS.md,DOC,.md,34,1587,READ,,,
CHANGELOG.md,DOC,.md,37,2059,READ,,,
CODE_OF_CONDUCT.md,DOC,.md,107,4487,READ,,,
CONTRIBUTING.md,DOC,.md,87,2698,READ,,,
docs/architecture/context.md,DOC,.md,307,20725,READ,,,
docs/architecture/file_str.md,DOC,.md,106,9011,READ,,,
docs/deployment.md,DOC,.md,53,1808,READ,,,
docs/guides/HANDOFF_README.md,DOC,.md,274,11330,READ,,,
docs/guides/sop(voice_agent).md,DOC,.md,100,4409,READ,,,
docs/intelligence/OPERATION_LOG.md,DOC,.md,125,6884,READ,,,
docs/intelligence/SA0_DISCOVERY.md,DOC,.md,204,11119,READ,,,
docs/intelligence/SA1_ARCHITECTURE.md,DOC,.md,151,13048,READ,,,
docs/intelligence/SA2_BACKEND.md,DOC,.md,207,16509,READ,,,
docs/intelligence/SA3_FRONTEND.md,DOC,.md,206,17522,READ,,,
docs/intelligence/SA4_DATA_LAYER.md,DOC,.md,174,13463,READ,,,
docs/intelligence/SA5_INTEGRATIONS.md,DOC,.md,207,28435,READ,,,
docs/intelligence/SA6_SECURITY_QUALITY.md,DOC,.md,204,15738,READ,,,
docs/intelligence/SA7_KNOWLEDGE_GRAPH.md,DOC,.md,352,49396,READ,,,
docs/intelligence/SA7_MASTER_BRIEF.md,DOC,.md,152,14380,READ,,,
docs/operations/FILE_LEDGER.csv,UNKNOWN,.csv,113,12567,READ,,,
docs/operations/GAP_ANALYSIS.md,DOC,.md,50,2271,READ,,,
docs/operations/OPEN_SOURCE_LANDSCAPE.md,DOC,.md,30,4176,READ,,,
docs/operations/PRODUCT_SHAPE_DECISION.md,DOC,.md,56,3064,READ,,,
docs/operations/PRODUCT_UI_RESEARCH.md,DOC,.md,26,1850,READ,,,
docs/operations/PRODUCTIONIZATION_PLAN.md,DOC,.md,71,3628,READ,,,
docs/operations/PRODUCTIONIZATION_SUMMARY.md,DOC,.md,99,4722,READ,,,
docs/operations/RESTRUCTURE_SUMMARY.md,DOC,.md,102,6050,READ,,,
docs/operations/VERIFICATION_MATRIX.md,DOC,.md,28,2844,READ,,,
docs/specs/langchain_langgraph_migration_plan.md,DOC,.md,1495,59749,READ,,,
LICENSE,UNKNOWN,,21,1068,READ,,,
README.md,DOC,.md,218,11183,READ,,,
requirements-dev.txt,DOC,.txt,7,128,READ,,,
SECURITY.md,DOC,.md,36,1655,READ,,,
voice_agent_backend/.env,UNKNOWN,,0,1032,EXCLUDED_SECRET,,,Secret file not read per AGENTS and skill secret safety.
voice_agent_backend/app/__init__.py,CORE,.py,0,0,READ,,,
voice_agent_backend/app/api/__init__.py,CORE,.py,0,0,READ,,,
voice_agent_backend/app/api/routes/__init__.py,CORE,.py,0,0,READ,,,
voice_agent_backend/app/api/routes/auth.py,CORE,.py,52,1967,READ,,UserRegister;Token;register;login,
voice_agent_backend/app/api/routes/chat.py,CORE,.py,543,20890,READ,,NO_INFO_PHRASES;_DOC_EXISTENCE_CACHE;_CACHE_TTL;_PREDICTIVE_RAG_CACHE;_PREDICTIVE_TTL;_LAST_BACKCHANNEL_AT;chat_endpoint;chat_predict_endpoint;chat_backchannel_endpoint;chat_stream_endpoint;interrupt_endpoint,
voice_agent_backend/app/api/routes/collections.py,CORE,.py,80,2616,READ,,get_collections;create_collection_endpoint;delete_collection_endpoint;get_documents;delete_document,
